language,n,m,load,input_file,op,tempo_medio_ms,desvio_padrao_ms,nos_visitados
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_nearly_sorted_mixed_5050.txt,batch_ops,76.97062673333333,1.2063677054938715,10866247
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_nearly_sorted_mixed_5050.txt,build,1.7490708,0.6153403216346277,199999
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_random_mixed_5050.txt,batch_ops,89.86386106666667,2.5501801291271518,10866247
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_random_mixed_5050.txt,build,1.8636001333333332,0.6927245077243779,199999
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_sorted_mixed_5050.txt,batch_ops,78.71364626666667,1.1587948379206938,10866247
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_sorted_mixed_5050.txt,build,1.7432177666666668,0.6410290744348004,199999
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_all_equal_query.txt,batch_ops,100.61088406666666,1.6733671295481043,17920512
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_all_equal_query.txt,build,1.7218799333333334,0.6372629839342264,199999
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_duplicates_query.txt,batch_ops,101.17888556666666,1.8786714588321134,17920512
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_duplicates_query.txt,build,1.7385435333333334,0.656819384913268,199999
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_nearly_sorted_query.txt,batch_ops,100.77535726666666,2.2697573264990574,17920512
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_nearly_sorted_query.txt,build,1.7255757333333333,0.613965170572961,199999
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_random_query.txt,batch_ops,127.78042666666667,6.441583393884588,17920512
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_random_query.txt,build,1.8967144333333332,0.6730239855177413,199999
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_sorted_query.txt,batch_ops,101.98204179999999,2.077443590216216,17920512
cpp,100000,100000,query,/workspace/data/input_n100000_m100000_s42_sorted_query.txt,build,1.6919307666666665,0.6299366415551416,199999
cpp,100000,100000,update,/workspace/data/input_n100000_m100000_s42_all_equal_update.txt,batch_ops,45.6828077,0.7326612941650911,3868604
cpp,100000,100000,update,/workspace/data/input_n100000_m100000_s42_all_equal_update.txt,build,1.6962055666666667,0.6244721702570062,199999
cpp,100000,100000,update,/workspace/data/input_n100000_m100000_s42_duplicates_update.txt,batch_ops,46.206324,0.6768441469974877,3868604
cpp,100000,100000,update,/workspace/data/input_n100000_m100000_s42_duplicates_update.txt,build,1.746478,0.6456833365847167,199999
cpp,100000,100000,update,/workspace/data/input_n100000_m100000_s42_nearly_sorted_update.txt,batch_ops,46.5768386,1.0797466510585618,3868604
